time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-17 00:00:00+00:00,25,10,0,0
2026-03-18 00:00:00+00:00,16,5,0,0
2026-03-19 00:00:00+00:00,20,9,0,0
2026-03-20 00:00:00+00:00,11,4,1,1
2026-03-21 00:00:00+00:00,17,6,0,0
2026-03-22 00:00:00+00:00,16,5,0,0
2026-03-23 00:00:00+00:00,13,6,0,0
2026-03-24 00:00:00+00:00,11,4,0,0
2026-03-25 00:00:00+00:00,17,7,0,0
2026-03-26 00:00:00+00:00,4,4,3,2
2026-03-27 00:00:00+00:00,2,2,16,3
2026-03-28 00:00:00+00:00,143,44,48,1
2026-03-29 00:00:00+00:00,34,20,8,1
2026-03-30 00:00:00+00:00,26,15,5,1
