time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,34,20,8,1
2026-03-30 00:00:00+00:00,26,15,5,1
2026-03-31 00:00:00+00:00,90,31,40,3
2026-04-01 00:00:00+00:00,32,16,1,1
2026-04-02 00:00:00+00:00,13,6,1,1
2026-04-03 00:00:00+00:00,32,16,1,1
2026-04-04 00:00:00+00:00,6,5,0,0
2026-04-05 00:00:00+00:00,11,8,0,0
2026-04-06 00:00:00+00:00,16,9,0,0
2026-04-07 00:00:00+00:00,21,10,0,0
2026-04-08 00:00:00+00:00,13,6,1,1
2026-04-09 00:00:00+00:00,55,13,1,1
2026-04-10 00:00:00+00:00,39,14,0,0
2026-04-11 00:00:00+00:00,34,10,0,0
